Mcdonalds,"Single Bacon Smokehouse Burger",840
Mcdonalds,"Grilled Bacon Smokehouse Chicken Sandwich",750
Mcdonalds,"Crispy Bacon Smokehouse Chicken Sandwich",920
Mcdonalds,"Big Mac",540
Mcdonalds,"Classic Chicken Sandwich",510
Mcdonalds,"Double Quarter Pounder® with Cheese",770
Mcdonalds,"Garlic White Cheddar Burger",620
Mcdonalds,"Grilled Garlic White Cheddar Chicken Sandwich",530
Mcdonalds,"Crispy Garlic White Cheddar Chicken Sandwich",700
Mcdonalds,"Maple Bacon Dijon 1/4 lb Burger",640
Mcdonalds,"Grilled Maple Bacon Dijon Chicken Sandwich",580
Mcdonalds,"Crispy Maple Bacon Dijon Chicken Sandwich",740
Mcdonalds,"Pico Guacamole 1/4 lb Burger",580
Mcdonalds,"Grilled Pico Guacamole Chicken Sandwich",520
Mcdonalds,"Crispy Pico Guacamole Chicken Sandwich",680
Mcdonalds,"Premium Buttermilk Crispy Chicken Deluxe Sandwich",570
Mcdonalds,"Premium Crispy Chicken Deluxe Sandwich",530
Mcdonalds,"Quarter Pounder® with Cheese",530
Mcdonalds,"Signature Sriracha Burger",670
Mcdonalds,"Grilled Signature Sriracha Chicken Sandwich",560
Mcdonalds,"Crispy Signature Sriracha Chicken Sandwich",730
Mcdonalds,"Sweet BBQ Bacon 1/4 lb Burger",690
Mcdonalds,"Grilled Sweet BBQ Bacon Chicken Sandwich",630
Mcdonalds,"Crispy Sweet BBQ Bacon Chicken Sandwich",800
Mcdonalds,"6 piece Buttermilk Crispy Chicken Tenders",760
Mcdonalds,"20 Piece Chicken McNuggets",890
Mcdonalds,"4 piece Sweet N' Spicy Honey BBQ Glazed Tenders",640
Mcdonalds,"6 piece Sweet N' Spicy Honey BBQ Glazed Tenders",960
Mcdonalds,"Premium Southwest Salad w/ Crispy Chicken",520
"Chick Fil-A","Chicken Deluxe",500
"Chick Fil-A","30 piece Chicken Nuggets",970
"Chick Fil-A","4 Piece Grilled Chicken Nuggets",70
"Chick Fil-A","Smokehouse BBQ Bacon Sandwich",500
"Chick Fil-A","Spicy Deluxe",540
